"Access audit log","Erisim denetim kayitlari"
"Accounting synchronization entries","Muhasebe senkronizasyon kayitlari"
"Acentem Takipte","Acentem Takipte"
"Agency and sales hierarchy","Açente ve satis hiyerarsisi"
"Approved amount cannot be greater than estimated amount.","Onaylanan tutar tahmini tutardan büyük olamaz."
"Approved amount cannot be negative.","Onaylanan tutar negatif olamaz."
"Birth Date cannot be in the future.","Dogum tarihi gelecekte olamaz."
"Branch","Brans"
"Change Payload cannot be empty when applying endorsement.","Zeyil uygulanirken degisiklik verisi bos olamaz."
"Change Payload must be a JSON object.","Degisiklik verisi bir JSON nesnesi olmalıdır."
"Claim not found.","Hasar kaydi bulunamadı."
"Claim operations","Hasar operasyonlari"
"Claim payments must be outbound.","Hasar odemeleri cikis yönlü olmalıdır."
"Commission amount cannot be negative.","Komisyon tutari negatif olamaz."
"Communication and Finance","İletişim ve Finans"
"Company Code must be 2-12 chars and contain only A-Z, 0-9, '_' or '-'.","Sirket kodu 2-12 karakter olmali ve sadece A-Z, 0-9, '_' veya '-' icermelidir."
"Company Code must be unique.","Sirket kodu benzersiz olmalıdır."
"Company Name is required.","Sirket adi zorunludur."
"Control Center","Kontrol Merkezi"
"Converted offers must be linked to a policy.","Donusturulmus teklifler bir policeye bağlı olmalıdır."
"Could not generate temporary Tax ID. Please retry.","Gecici TC/VKN uretilemedi. Lütfen tekrar deneyin."
"Customer","Müşteri"
"Customer is required.","Müşteri zorunludur."
"Customer not found: {0}","Müşteri bulunamadı: {0}"
"Customer records","Müşteri kayitlari"
"Due date cannot be later than renewal date.","Vade tarihi yenileme tarihinden sonra olamaz."
"Either Net Premium or Gross Premium must be greater than zero.","Net Prim veya Brüt Prim degerlerinden en az biri sıfırdan büyük olmalıdır."
"Endorsement already applied.","Zeyil zaten uygulanmis."
"Endorsement applied successfully.","Zeyil basariyla uygulandi."
"Estimated Gross Premium cannot be negative.","Tahmini Brüt Prim negatif olamaz."
"Estimated Gross Premium must be greater than zero.","Tahmini Brüt Prim sıfırdan büyük olmalıdır."
"Estimated amount cannot be negative.","Tahmini tutar negatif olamaz."
"First Name is required.","Ad zorunludur."
"Full Name is required.","Ad Soyad zorunludur."
"Gross premium must be greater than zero.","Brüt prim sıfırdan büyük olmalıdır."
"Gross premium must equal Net Premium + Commission Amount + Tax Amount.","Brüt prim, Net Prim + Komisyon Tutarı + Vergi Tutarına esit olmalıdır."
"Home","Ana Sayfa"
"Incident date cannot be later than reported date.","Olay tarihi bildirim tarihinden sonra olamaz."
"Insurance Company","Sigorta Şirketi"
"Insurance Ops","Sigorta Operasyonlari"
"Insurance agency CRM and policy management","Sigorta acentesi CRM ve police yonetimi"
"Insurance branch definitions","Sigorta brans tanimlari"
"Insurance company definitions","Sigorta sirketi tanimlari"
"Issue date cannot be later than start date.","Tanzim tarihi baslangic tarihinden sonra olamaz."
"Lead Email: {0}","Lead E-posta: {0}"
"Lead Name: {0}","Lead Adi: {0}"
"Lead Notes: {0}","Lead Notlari: {0}"
"Lead converted to Offer successfully.","Lead basariyla teklife donusturuldu."
"Lead is already converted to Offer.","Lead zaten teklife donusturulmus."
