"Access audit log","Erisim denetim kayitlari"
"Accounting synchronization entries","Muhasebe senkronizasyon kayitlari"
"Acentem Takipte","Acentem Takipte"
"Agency and sales hierarchy","Acente ve satis hiyerarsisi"
"Approved amount cannot be greater than estimated amount.","Onaylanan tutar tahmini tutardan buyuk olamaz."
"Approved amount cannot be negative.","Onaylanan tutar negatif olamaz."
"Birth Date cannot be in the future.","Dogum tarihi gelecekte olamaz."
"Branch","Brans"
"Change Payload cannot be empty when applying endorsement.","Zeyil uygulanirken degisiklik verisi bos olamaz."
"Change Payload must be a JSON object.","Degisiklik verisi bir JSON nesnesi olmalidir."
"Claim not found.","Hasar kaydi bulunamadi."
"Claim operations","Hasar operasyonlari"
"Claim payments must be outbound.","Hasar odemeleri cikis yonlu olmalidir."
"Commission amount cannot be negative.","Komisyon tutari negatif olamaz."
"Communication and Finance","Iletisim ve Finans"
"Company Code must be 2-12 chars and contain only A-Z, 0-9, '_' or '-'.","Sirket kodu 2-12 karakter olmali ve sadece A-Z, 0-9, '_' veya '-' icermelidir."
"Company Code must be unique.","Sirket kodu benzersiz olmalidir."
"Company Name is required.","Sirket adi zorunludur."
"Control Center","Kontrol Merkezi"
"Converted offers must be linked to a policy.","Donusturulmus teklifler bir policeye bagli olmalidir."
"Could not generate temporary Tax ID. Please retry.","Gecici TC/VKN uretilemedi. Lutfen tekrar deneyin."
"Customer","Musteri"
"Customer is required.","Musteri zorunludur."
"Customer not found: {0}","Musteri bulunamadi: {0}"
"Customer records","Musteri kayitlari"
"Due date cannot be later than renewal date.","Vade tarihi yenileme tarihinden sonra olamaz."
"Either Net Premium or Gross Premium must be greater than zero.","Net Prim veya Brut Prim degerlerinden en az biri sifirdan buyuk olmalidir."
"Endorsement already applied.","Zeyil zaten uygulanmis."
"Endorsement applied successfully.","Zeyil basariyla uygulandi."
"Estimated Gross Premium cannot be negative.","Tahmini Brut Prim negatif olamaz."
"Estimated Gross Premium must be greater than zero.","Tahmini Brut Prim sifirdan buyuk olmalidir."
"Estimated amount cannot be negative.","Tahmini tutar negatif olamaz."
"First Name is required.","Ad zorunludur."
"Full Name is required.","Ad Soyad zorunludur."
"Gross premium must be greater than zero.","Brut prim sifirdan buyuk olmalidir."
"Gross premium must equal Net Premium + Commission Amount + Tax Amount.","Brut prim, Net Prim + Komisyon Tutari + Vergi Tutarina esit olmalidir."
"Home","Ana Sayfa"
"Incident date cannot be later than reported date.","Olay tarihi bildirim tarihinden sonra olamaz."
"Insurance Company","Sigorta Sirketi"
"Insurance Ops","Sigorta Operasyonlari"
"Insurance agency CRM and policy management","Sigorta acentesi CRM ve police yonetimi"
"Insurance branch definitions","Sigorta brans tanimlari"
"Insurance company definitions","Sigorta sirketi tanimlari"
"Issue date cannot be later than start date.","Tanzim tarihi baslangic tarihinden sonra olamaz."
"Lead Email: {0}","Lead E-posta: {0}"
"Lead Name: {0}","Lead Adi: {0}"
"Lead Notes: {0}","Lead Notlari: {0}"
"Lead converted to Offer successfully.","Lead basariyla teklife donusturuldu."
"Lead is already converted to Offer.","Lead zaten teklife donusturulmus."
"Lead is missing required fields: {0}","Lead kaydinda zorunlu alanlar eksik: {0}"
