About,Hakkında,
Accepted,Kabul Edildi,
Action,İşlem,
Actionable,Aksiyon Bekliyor,
Active,Aktif,
Amount must be greater than zero.,Tutar sıfırdan büyük olmalıdır.,
Gross Premium must equal Net Premium + Commission + Tax.,Brüt Prim, Net Prim + Komisyon + Vergi toplamına eşit olmalıdır.,
Unsupported status selection.,Geçersiz durum seçimi.,
Selected source offer was not found.,Seçili teklif bulunamadı.,
Select a customer or add a new customer.,Bir müşteri seçin veya yeni müşteri ekleyin.,
Tax number must be 10 digits.,Vergi numarası 10 haneli olmalıdır.,
National ID number must be 11 digits.,TC kimlik numarası 11 haneli olmalıdır.,
Enter a valid Turkish national ID number.,Geçerli bir TC kimlik numarası girin.,
Policy holder is required.,Sigortalı alanı zorunludur.,
Policy Holder,Sigortalı,
Agency,Acente,
Address,Adres,
Approved,Onaylı,
Applied On,Uygulandı,
Applied,Uygulandı,
Apps,Uygulamalar,
Archived,Arşivlendi,
Both,Her İkisi,
Assigned To,Atanan,
Birth Date,Doğum Tarihi,
Blocked,Engellendi,
Campaign,Kampanya,
Cancelled,İptal,
Channel,Kanal,
Closed,Kapalı,
Close,Kapat,
Back,Geri,
Back to Source,Kaynağa Dön,
Actions,İşlemler,
Company,Şirket,
Company Statement,Şirket Bildirimi,
Difference,Fark,
Period,Dönem,
Record Detail,Kayıt Detayı,
Reconciliation No,Mutabakat No,
Total Policy,Toplam Poliçe,
Total Premium,Toplam Prim,
Quick Campaign,Hızlı Kampanya,
Quick Assignment,Hızlı Atama,
Edit Assignment,Atamayı Düzenle,
Quick Call Note,Hızlı Arama Notu,
Quick Conversion,Hızlı Dönüştürme,
Quick Message,Hızlı Mesaj,
Quick Payment,Hızlı Ödeme,
Quick Reminder,Hızlı Hatırlatıcı,
Quick Segment,Hızlı Segment,
New Customer,Yeni Müşteri,
New Lead,Yeni Fırsat,
New Policy,Yeni Poliçe,
Quick policy create failed.,Hızlı poliçe oluşturma başarısız oldu.,
Quick lead create failed.,Hızlı fırsat oluşturma başarısız oldu.,
Issue date cannot be later than start date.,Tanzim tarihi başlangıç tarihinden sonra olamaz.,
Start date cannot be later than end date.,Başlangıç tarihi bitiş tarihinden sonra olamaz.,
Quick customer create failed.,Hızlı müşteri oluşturma başarısız oldu.,
Enter a valid email.,Geçerli e-posta girin.,
Birth date cannot be in the future.,Doğum tarihi gelecekte olamaz.,
Reconciliation Action,Mutabakat Aksiyonu,
Statement Preview,Ekstre Önizleme,
Build Preview,Önizleme Oluştur,
Quick Renewal,Hızlı Yenileme,
Lost Reason,Kayıp Nedeni,
Converted,Dönüştü,
Converted to Offer,Teklife Dönüştü,
Converted to Policy,Poliçeye Dönüştü,
Completed,Tamamlandı,
Create,Oluştur,
Create & Open,Oluştur ve Aç,
Created At,Oluşturulma Zamanı,
Currency,Para Birimi,
Dead,Kalıcı Hata,
Delete,Sil,
Done,Tamamlandı,
Draft,Taslak,
Dynamic,Dinamik,
Email,E-posta,
Consent Status,İzin Durumu,
Edit,Düzenle,
End Date,Bitiş Tarihi,
Entity Type,Varlık Türü,
Expired,Süresi Doldu,
Failed,Başarısız,
Export,Dışarı Aktar,
Female,Kadın,
Filters JSON,JSON Filtreleri,
First Name,Adı,
Frappe Support,Frappe Desteği,
Fresh,Güncel,
Follow Up,Takip Et,
Full Name,Tam Adı,
Gender,Cinsiyet,
Granted,Onaylı,
High,Yüksek,
Home,Ana Sayfa,
IP Address,IP Adresi,
In Progress,Devam Ediyor,
Inactive,Pasif,
Incomplete,Eksik Bilgi,
Inbound,Tahsilat,
Is Default,Varsayılan mı,
Keyboard Shortcuts,Klavye Kısayolları,
Language,Dil,
Last Name,Soyadı,
Last Synced On,Son Senkronizasyon,
Log out,Çıkış,
Low,Düşük,
Male,Erkek,
My Profile,Profilim,
My Settings,Ayarlarım,
Matched,Eşleşti,
Mismatch,Uyuşmuyor,
Note,Not,
Open,Açık,
Outbound,Ödeme,
Outstanding,Açık,
Overdue,Vadesi Geçti,
Other,Diğer,
